This data originated from: https://github.com/saveitch/LemonCreek2017 , please see the source repository for citation information.
Table S1: Surveyed locations and elevations of all stations deployed during summer of 2017 by personnel from UTEP. The seismic line discussed at length in this study use data from stations 1007--1057. A small number of stations were not surveyed with high precision GPS. We have omitted elevation values for those stations here. Locations and elevations are recorded in meters, and positions are projected in WGS84 / UTM zone 8N (EPSG:32608).
Station,Northing,Easting,Elevation,Deployed Phase 1,Deployed Phase 2
1004,6471102.70,538217.89,1076.7,,x
1007,6471044.62,538225.82,1085.5,x,
1008,6471024.85,538228.53,1087.0,x,
1009,6471006.31,538231.20,1087.3,x,x
1010,6470985.16,538233.82,1090.9,x,
1011,6470965.20,538236.63,1092.5,x,
1012,6470945.53,538239.40,1094.0,x,
1013,6470925.59,538242.03,1095.7,x,
1014,6470908.32,538244.22,1097.9,x,x
1015,6470886.07,538247.45,1098.7,x,
1016,6470866.05,538250.23,1099.4,x,
1017,6470846.56,538252.84,1101.2,x,
1018,6470826.66,538255.35,1102.7,x,
1019,6470808.57,538258.14,1103.6,x,x
1020,6470786.96,538260.98,1105.8,x,
1021,6470767.09,538263.78,1107.0,x,
1022,6470747.19,538266.45,1107.4,x,
1023,6470727.54,538269.11,1108.0,x,
1024,6470708.87,538272.05,1110.4,x,x
1025,6470687.97,538274.61,1111.9,x,
1026,6470668.04,538277.30,1113.6,x,
1027,6470648.24,538279.74,1115.6,x,
1028,6470628.12,538282.68,1117.5,x,
1029,6470610.49,538285.88,1116.7,x,x
1030,6470589.05,538287.97,1118.3,x,
1031,6470569.27,538290.76,1121.1,x,
1032,6470549.02,538293.43,1121.8,x,
1033,6470529.37,538296.23,1123.5,x,
1034,6470508.34,538298.47,1120.9,x,x
1035,6470489.84,538301.57,1124.8,x,
1036,6470469.86,538304.39,1125.7,x,
1037,6470450.04,538307.03,1128.0,x,
1038,6470430.24,538309.82,1128.9,x,
1039,6470411.99,538312.55,1129.7,x,x
1040,6470390.56,538315.17,1131.5,x,
1041,6470370.71,538317.80,1132.1,x,
1042,6470351.03,538320.64,1133.1,x,
1043,6470331.33,538323.26,1134.2,x,
1044,6470310.85,538326.24,1132.5,x,x
1045,6470291.59,538328.53,1136.8,x,
1046,6470271.76,538331.13,1137.7,x,
1047,6470252.06,538334.05,1138.7,x,
1048,6470231.73,538336.77,1139.5,x,
1049,6470211.36,538339.13,1138.1,x,x
1050,6470192.40,538342.05,1140.8,x,
1051,6470172.67,538344.73,1142.4,x,
1052,6470153.15,538347.70,1144.4,x,
1053,6470132.99,538350.31,1143.2,x,
1054,6470113.20,538353.04,1143.7,x,
1055,6470093.80,538355.57,1145.8,x,
1056,6470073.50,538358.51,1146.3,x,
1057,6470054.40,538361.04,1147.1,x,x
2040,6468954.28,537860.06,,,x
2041,6468896.04,537592.02,1188.0,,x
2042,6469093.59,537349.84,1184.9,,x
2050,6470021.91,537921.23,1152.0,,x
3011,6471511.97,537528.04,1073.7,,x
3012,6471553.06,537843.21,1050.2,,x
3013,6471586.40,538158.97,1053.5,,x
3014,6471628.08,538471.55,1044.2,,x
3015,6471665.93,538787.66,1062.0,,x
3016,6471122.95,537578.42,1078.0,,x
3017,6471153.42,537893.99,1067.3,,x
3018,6471199.97,538209.00,1074.0,,x
3019,6471238.54,538525.98,1077.9,,x
3020,6471273.71,538838.26,1072.1,,x
3021,6470755.73,537728.69,1109.0,,x
3022,6470771.16,537944.37,,,x
3024,6470847.88,538574.87,1103.3,,x
3025,6470881.47,538887.58,1115.6,,x
3026,6470342.83,537682.19,1177.0,,x
3027,6470382.89,537999.11,1137.4,,x
3029,6470458.03,538627.87,1122.4,,x
3030,6470495.51,538940.94,1165.7,,x
3031,6469916.94,537424.14,1199.1,,x
3032,6469952.76,537734.47,,,x
3033,6469995.20,538050.73,1148.2,,x
3035,6470051.46,538680.29,1149.9,,x
3037,6469527.95,537464.99,1187.1,,x
3038,6469482.87,537161.63,1206.9,,x
3039,6469562.95,537786.19,,,x
3040,6469601.23,538101.24,,,x
3041,6469639.54,538416.27,,,x
3042,6469677.88,538731.29,,,x
3044,6469172.50,537838.41,1184.8,,x
3045,6469214.03,538154.23,1184.7,,x
3046,6469142.73,537523.69,1184.1,,x
3047,6469230.97,537240.31,1186.7,,x
3048,6469251.89,538466.93,1219.6,,x
3049,6469291.33,538783.49,1217.0,,x
3050,6469078.68,538173.11,,,x
3051,6469055.69,538443.09,,,x
