This data originated from: https://github.com/saveitch/LemonCreek2017 , please see the source repository for citation information.
Table S2: Surveyed locations and elevations of all controlled source seismic sources generated as part of the 2017 Lemon Creek Glacier deployment by the UTEP team. The seismic line discussed in detail in this study used shots 7--58. Locations and elevations are recorded in meters, and positions are projected in WGS84 / UTM zone 8N (EPSG:32608).
Shot Location,Northing,Easting,Elevation,n shots,Deployment Phase
7,6471054.46,538224.61,1081.5,5,1
8,6471034.68,538226.84,1084.1,2,1
9,6471014.92,538230.03,1086.2,2,1
10,6470994.99,538232.46,1087.9,2,1
11,6470975.37,538235.21,1090.2,2,1
12,6470955.29,538238.14,1091.6,2,1
13,6470935.47,538240.97,1095.0,2,1
14,6470915.66,538243.28,1097.2,2,1
15,6470895.95,538245.82,1097.9,2,1
16,6470875.90,538248.64,1099.6,2,1
17,6470856.66,538251.48,1100.5,2,1
18,6470836.72,538253.74,1101.8,2,1
19,6470816.87,538256.54,1102.7,2,1
20,6470796.95,538259.69,1103.7,2,1
21,6470777.07,538261.96,1105.8,2,1
22,6470757.35,538265.21,1106.2,2,1
23,6470737.67,538267.92,1107.0,2,1
24,6470717.38,538270.58,1108.5,2,1
25,6470697.77,538273.19,1110.0,2,1
26,6470677.52,538275.70,1111.3,2,1
27,6470658.03,538278.80,1113.2,2,1
28,6470638.15,538281.27,1113.9,2,1
29,6470618.86,538283.88,1115.4,1,1
30,6470598.86,538286.84,1116.1,1,1
31,6470578.41,538289.29,1117.2,1,1
32,6470558.96,538291.90,1120.2,1,1
33,6470539.27,538294.90,1121.3,1,1
34,6470519.48,538297.69,1122.6,1,1
35,6470499.71,538300.15,1123.6,1,1
36,6470479.96,538302.93,1124.9,1,1
37,6470459.99,538305.58,1126.3,1,1
38,6470440.07,538308.39,1127.5,1,1
39,6470420.13,538310.96,1129.2,2,1
40,6470400.48,538313.87,1130.6,2,1
41,6470380.86,538316.04,1132.9,2,1
42,6470361.09,538319.06,1132.8,2,1
43,6470341.20,538321.46,1133.1,2,1
44,6470321.28,538324.58,1133.8,2,1
45,6470301.57,538327.29,1135.6,2,1
46,6470282.10,538329.70,1137.6,2,1
47,6470261.81,538332.64,1137.9,2,1
48,6470242.39,538335.12,1136.7,2,1
49,6470222.26,538337.98,1138.0,2,1
50,6470202.48,538341.20,1139.3,2,1
51,6470182.61,538343.53,1141.8,2,1
52,6470163.08,538346.27,1142.7,2,1
53,6470143.19,538348.83,1142.7,2,1
54,6470123.20,538351.71,1144.2,2,1
55,6470103.19,538354.42,1145.0,2,1
56,6470083.54,538357.21,1146.5,2,1
57,6470063.57,538359.73,1147.5,2,1
58,6470043.71,538362.50,1147.9,3,1
101,6469095.13,537350.83,1184.4,3,2
102,6469144.59,537524.30,1183.6,3,2
103,6469174.93,537836.79,1185.4,3,2
104,6469214.93,538154.50,1184.8,3,2
105,6469259.72,538469.78,1219.6,3,2
106,6469291.54,538783.97,1213.5,3,2
201,6470343.88,537682.26,1177.2,3,2
202,6470383.95,537999.15,1137.7,3,2
204,6470458.88,538627.51,1122.1,3,2
205,6470458.65,538858.50,1133.0,3,2
301,6471154.50,537893.44,1065.6,5,2
302,6471201.75,538209.51,1073.6,5,2
303,6471240.01,538526.39,1077.5,5,2
401,6470055.57,538360.70,1147.7,3,2
402,6470212.49,538338.88,1137.9,3,2
403,6470313.73,538325.94,1134.5,3,2
404,6470413.41,538312.65,1129.1,3,2
405,6470509.62,538298.88,1121.0,3,2
406,6470611.50,538286.25,1116.8,3,2
407,6470709.86,538270.69,1108.6,3,2
408,6470808.30,538258.51,1099.3,3,2
409,6470910.09,538244.98,1097.3,3,2
410,6471008.16,538230.61,1087.8,2,2
411,6471104.50,538216.82,1076.4,3,2
501,6470054.68,538679.72,1151.5,3,2
