This data originated from: https://github.com/saveitch/LemonCreek2017 , please see the source repository for citation information.
Table S3: Location, elevation, and observed depth to basal reflector for all CMP stacking locations used in the reflection imaging described in this study, and shown in Figure~6. The glacier surface elevation shown here is generated from the elevations obtained from our surveyed station and shot locations. Locations and elevations are recorded in meters, and positions are projected in WGS84 / UTM zone 8N (EPSG:32608).
Northing,Easting,Glacier Surface Elevation,Depth to Basal Reflector(m)
6471049.5,538225.3,1085.5,184
6471039.5,538226.4,1085.9,186
6471030.0,538227.8,1086.6,187
6471020.0,538229.1,1087.4,189
6471010.0,538230.5,1088.3,190
6471000.0,538231.9,1089.3,191
6470990.0,538233.3,1090.3,193
6470980.0,538234.6,1091.3,194
6470970.0,538235.9,1092.1,196
6470960.5,538237.3,1092.9,197
6470950.5,538238.6,1093.7,199
6470940.5,538239.9,1094.5,200
6470930.5,538241.3,1095.3,202
6470920.5,538242.6,1096.1,204
6470911.0,538244.0,1096.7,206
6470901.0,538245.4,1097.5,208
6470891.0,538246.8,1098.3,209
6470881.0,538248.1,1098.9,211
6470871.0,538249.4,1099.2,214
6470861.5,538250.8,1099.8,217
6470851.5,538252.1,1100.7,220
6470841.5,538253.5,1101.6,223
6470831.5,538254.9,1102.3,227
6470821.5,538256.2,1103.0,230
6470811.5,538257.6,1103.5,233
6470802.0,538258.9,1104.2,236
6470792.0,538260.3,1105.3,238
6470782.0,538261.6,1106.1,241
6470772.0,538263.0,1106.7,243
6470762.0,538264.3,1107.1,246
6470752.5,538265.7,1107.3,247
6470742.5,538267.1,1107.6,249
6470732.5,538268.4,1107.9,251
6470722.5,538269.8,1109.1,251
6470712.5,538271.1,1111.3,252
6470702.5,538272.4,1112.2,252
6470693.0,538273.8,1112.0,252
6470683.0,538275.2,1112.4,252
6470673.0,538276.5,1113.2,251
6470663.0,538277.9,1114.1,251
6470653.0,538279.2,1115.1,251
6470643.5,538280.6,1116.1,252
6470633.5,538281.9,1117.0,253
6470623.5,538283.3,1117.3,254
6470613.5,538284.6,1116.9,256
6470603.5,538286.0,1117.1,258
6470594.0,538287.3,1118.0,260
6470584.0,538288.7,1119.1,263
6470574.0,538290.1,1120.5,267
6470564.0,538291.4,1121.3,271
6470554.0,538292.8,1121.7,275
6470544.0,538294.1,1122.3,279
6470534.5,538295.4,1123.1,283
6470524.5,538296.8,1123.6,287
6470514.5,538298.2,1123.9,292
6470504.5,538299.5,1124.3,296
6470494.5,538300.9,1124.7,300
6470485.0,538302.2,1125.1,304
6470475.0,538303.6,1125.5,309
6470465.0,538304.9,1126.3,312
6470455.0,538306.3,1127.5,316
6470445.0,538307.6,1128.2,320
6470435.0,538309.0,1128.7,323
6470425.5,538310.4,1129.0,327
6470415.5,538311.7,1129.3,329
6470405.5,538313.1,1129.9,332
6470395.5,538314.4,1130.9,335
6470385.5,538315.8,1131.6,337
6470376.0,538317.1,1131.9,340
6470366.0,538318.5,1132.3,342
6470356.0,538319.8,1132.8,344
6470346.0,538321.2,1133.4,346
6470336.0,538322.6,1133.9,348
6470326.0,538323.9,1134.6,349
6470316.5,538325.3,1135.4,351
6470306.5,538326.6,1136.1,352
6470296.5,538327.9,1136.6,352
6470286.5,538329.3,1137.0,353
6470276.5,538330.6,1137.5,353
6470267.0,538332.0,1137.9,353
6470257.0,538333.4,1138.5,353
6470247.0,538334.7,1138.9,352
6470237.0,538336.1,1139.3,352
6470227.0,538337.4,1140.3,351
6470217.5,538338.8,1141.9,350
6470207.5,538340.1,1142.3,349
6470197.5,538341.4,1141.3,349
6470187.5,538342.8,1141.2,348
6470177.5,538344.2,1142.0,347
6470167.5,538345.5,1142.9,345
6470158.0,538346.9,1143.8,344
6470148.0,538348.3,1144.1,342
6470138.0,538349.6,1143.5,341
6470128.0,538351.0,1143.3,339
6470118.0,538352.3,1143.6,338
6470108.0,538353.7,1144.3,336
6470098.5,538355.1,1145.3,335
6470088.5,538356.4,1145.9,334
6470078.5,538357.8,1146.2,332
6470068.5,538359.1,1146.8,331
6470058.5,538360.4,1147.8,329
6470048.5,538361.8,1148.2,327
